has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified,email
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.708473,N/A,N/A,"GOVT.MID.SCHOOL,DINGLIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701638/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT MIDDLE SCHOOL DINGLIANG.,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.737743,N/A,N/A,"GOVT.MID.SCHOOL, DORINGKO",https://kys.udiseplus.gov.in/#/schooldetail/2701687/12,Anjaw,Chaglagam,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT. MIDDLE SCHOOL DORINGKO,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.768162,N/A,N/A,GOVT.MID.SCHOOL GAMLIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701668/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT MIDDLE SCHOOL GAMLIANG,792104,N/A,yunbijay1985@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.797925,N/A,N/A,GOVT.MID.SCHOOL.GOILIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701671/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT.MID.SCHOOL GOILIANG,792104,N/A,info.kbellai@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.827680,N/A,N/A,"GOVT.MID.SCHOOL,KHERANG",https://kys.udiseplus.gov.in/#/schooldetail/2701715/12,Anjaw,Hawai-walong,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,KHERANG HAWAI DIST ANJAW,792104,N/A,yunawolum@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.857341,N/A,N/A,"GOVT.MID.SCHOOL,KHUPA",https://kys.udiseplus.gov.in/#/schooldetail/2701642/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT MIDDLE SCHOOL KHUPA,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.888900,N/A,N/A,GOVT.MID.SCHOOL LAUTUL,https://kys.udiseplus.gov.in/#/schooldetail/2701701/12,Anjaw,Hawai-walong,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,LAUTUL HAWAI DIST ANJAW,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.949980,N/A,N/A,"GOVT.MID.SCHOOL,METANGLIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701675/12,Anjaw,Chaglagam,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT. MIDDLE SCHOOL METANGLIANG,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:04.979198,N/A,N/A,"GOVT.MID.SCHOOL,MOHIKONG",https://kys.udiseplus.gov.in/#/schooldetail/2701649/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT.MID.SCHOOL MOHIKONG,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.007916,N/A,N/A,"GOVT.MID.SCHOOL , SUNG",https://kys.udiseplus.gov.in/#/schooldetail/2701714/12,Anjaw,Hawai-walong,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,SUNG HAWAI ANJAW DIST,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.036802,N/A,N/A,"GOVT.MID.SCHOOL, SUPLIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701661/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT MIDDLE SCHOOL SUPLIANG,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.067092,N/A,N/A,GOVT.MID.SCHOOL TAFRALIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701641/12,Anjaw,Hayuliang,2025-26,2-Primary with Upper Primary,1-Department of Education,1 To 8,3-Co-educational,1-Rural,GOVT.MID.SCHOOL TAFRALIANG,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.100182,N/A,N/A,GOVT.PRIMARY SCHOOL APHUMNA,https://kys.udiseplus.gov.in/#/schooldetail/2701678/12,Anjaw,Chaglagam,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL APHUMNA,792104,N/A,bellaibapan@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.131876,N/A,N/A,"GOVT.PRIMARY SCHOOL,CHARNAI",https://kys.udiseplus.gov.in/#/schooldetail/2701706/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GPS CHARNAI HAWAI DIST ANJAW,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.162824,N/A,N/A,"GOVT. PRIMARY SCHOOL, CHILLANG",https://kys.udiseplus.gov.in/#/schooldetail/2703440/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL CHILLANG,792104,N/A,kesangtseringthungon@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.193805,N/A,N/A,GOVT PRIMARY SCHOOL CHIRANG,https://kys.udiseplus.gov.in/#/schooldetail/2701663/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT PRIMARY SCHOOL CHIRANG,792104,N/A,geminsaringh@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.228639,N/A,N/A,"GOVT. PRIMARY SCHOOL, GAB",https://kys.udiseplus.gov.in/#/schooldetail/2700218/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"GOVT. PRIMARY SCHOOL, GAB",792104,N/A,sanjaykrong2020@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.292950,N/A,N/A,"GOVT. PRIMARY SCHOOL, HAMATONG",https://kys.udiseplus.gov.in/#/schooldetail/2701721/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL HAMATONG,792104,N/A,hakungelatso463@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.325449,N/A,N/A,GOVT.PRIMARY SCHOOL HAYUM,https://kys.udiseplus.gov.in/#/schooldetail/2701722/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,9-NA,NA,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.354914,N/A,N/A,GOVT PRIMARY SCHOOL HUILIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701653/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT PRIMARY SCHOOL HUILIANG,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.389145,N/A,N/A,GOVT.PRIMARY SCHOOL PAYA,https://kys.udiseplus.gov.in/#/schooldetail/2701639/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT PRIMARY SCHOOL PAYA,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.420037,N/A,N/A,"GOVT. PRIMARY SCHOOL, PHANGLONGLAT",https://kys.udiseplus.gov.in/#/schooldetail/2703445/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL PHANGLONGAT,792104,N/A,khupemmanyu@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.453494,N/A,N/A,GOVT.PRIMARY SCHOOL RUTI,https://kys.udiseplus.gov.in/#/schooldetail/2701703/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GPS RUTI KHERANG DIST ANJAW,792104,N/A,tawsikbahunso@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.485220,N/A,N/A,GOVT.PRIMARY SCHOOL TINAI,https://kys.udiseplus.gov.in/#/schooldetail/2701696/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GPS TINAI WALONG DIST ANJAW,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.514766,N/A,N/A,"GOVT. PRIMARY SCHOOL, TOWA",https://kys.udiseplus.gov.in/#/schooldetail/2701718/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL TOWA,792104,N/A,krongmohimso@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.544726,N/A,N/A,"GOVT.PRY.SCHOOL,BHAW",https://kys.udiseplus.gov.in/#/schooldetail/2701713/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GPS Bhaw under Hawai Walong block,792104,N/A,amitchaitom1980@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.576370,N/A,N/A,GOVT.PRY.SCHOOL BOMNA,https://kys.udiseplus.gov.in/#/schooldetail/2701684/12,Anjaw,Chaglagam,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL BOMNA,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.637309,N/A,N/A,GOVT.PRY.SCHOOL CHAKKA,https://kys.udiseplus.gov.in/#/schooldetail/2701683/12,Anjaw,Chaglagam,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL CHAKKA,792104,N/A,amtmark38@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.668349,N/A,N/A,"GOVT.PRY.SCHOOL, CHIPUILIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701686/12,Anjaw,Chaglagam,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL CHIPUILIANG,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.697526,N/A,N/A,"GOVT.PRY.SCHOOL,DILLANG",https://kys.udiseplus.gov.in/#/schooldetail/2701669/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"GPS DILLANG, GOILIANG, ANJAW DIST",782104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.726211,N/A,N/A,GOVT.PRY.SCHOOL DUILIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701667/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT.PRY.SCHOOL DUILIANG,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.754808,N/A,N/A,GOVT.PRY. SCHOOL GLOTONGLAT,https://kys.udiseplus.gov.in/#/schooldetail/2703430/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"GPS Glotonglat, Hayuliang block",792104,N/A,bellaibajum@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.785836,N/A,N/A,"GOVT.PRY.SCHOOL,GOMIN",https://kys.udiseplus.gov.in/#/schooldetail/2701689/12,Anjaw,Chaglagam,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL GOMIN,792104,N/A,kamitabing@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.815697,N/A,N/A,"GOVT.PRY.SCHOOL,HALAIKRONG",https://kys.udiseplus.gov.in/#/schooldetail/2701711/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GPS HALAIKRONG WALONG DIST ANJAW,792104,N/A,c7halai@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.845310,N/A,N/A,"GOVT.PRY.SCHOOL,HAWAI",https://kys.udiseplus.gov.in/#/schooldetail/2701480/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,2-Urban,GPS HAWAI HAWAI DIST ANJAW,792104,N/A,aminatawsik55@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.875306,N/A,N/A,GOVT.PRY.SCHOOL KAHOO,https://kys.udiseplus.gov.in/#/schooldetail/2701693/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GPS KAHO WALONG DIST ANJAW,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.906448,N/A,N/A,GOVT.PRY.SCHOOL KANGULIANG,https://kys.udiseplus.gov.in/#/schooldetail/2701673/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT.PRY.SCHOOL KANGULIANG,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.967372,N/A,N/A,"GOVT.PRY.SCHOOL, KASANGLAT",https://kys.udiseplus.gov.in/#/schooldetail/2701666/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"GPS Kasanglat, Hayuliang Block",792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:05.997395,N/A,N/A,GOVT.PRY.SCHOOL KHROLANG,https://kys.udiseplus.gov.in/#/schooldetail/2701674/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT PRIMARY SCHOOL KHROLANG,792104,N/A,gpskhrolang@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.027165,N/A,N/A,"GOVT.PRY.SCHOOL, LAMALIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701650/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,9-NA,NA,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.055275,N/A,N/A,"GOVT.PRY.SCHOOL,LOILIANG",https://kys.udiseplus.gov.in/#/schooldetail/2703167/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 3,3-Co-educational,1-Rural,"Govt. Primary School, Loiliang",792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.084061,N/A,N/A,GOVT.PRY.SCHOOL MESAI,https://kys.udiseplus.gov.in/#/schooldetail/2701694/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,MESAI HAWAI ANJAW DIST,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.119066,N/A,N/A,"GOVT.PRY.SCHOOL,MITHUMNA",https://kys.udiseplus.gov.in/#/schooldetail/2701691/12,Anjaw,Chaglagam,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL SCHOOL MITHUMNA,792104,N/A,walanijenow@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.149413,N/A,N/A,"GOVT.PRY.SCHOOL,NENULIANG",https://kys.udiseplus.gov.in/#/schooldetail/2701654/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT.PRY.SCHOOL NENULIANG,792104,N/A,RDphaichurpa11@gmail.com
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.178521,N/A,N/A,GOVT.PRY. SCHOOL NUKUNG,https://kys.udiseplus.gov.in/#/schooldetail/2701710/12,Anjaw,Hawai-walong,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GPS NUKUNG HAWAI DIST ANJAW,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.207651,N/A,N/A,"GOVT.PRY.SCHOOL, RANGOM",https://kys.udiseplus.gov.in/#/schooldetail/2701662/12,Anjaw,Hayuliang,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"GPS Rangam, Hayuliang Block",792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.238047,N/A,N/A,GOVT.PRY. SCHOOL SENGUNG,https://kys.udiseplus.gov.in/#/schooldetail/2703168/12,Anjaw,Manchal,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,9-NA,NA,792104,N/A,N/A
True,True,ARUNACHAL PRADESH,112,ANJAW,2216,2025-08-20T11:30:06.297376,N/A,N/A,"GOVT.PRY.SCHOOL,TAFLAGAM",https://kys.udiseplus.gov.in/#/schooldetail/2701680/12,Anjaw,Chaglagam,2025-26,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,GOVT. PRIMARY SCHOOL TAFLAGAM,792104,N/A,chanfilummayi1983@gmail.com
